;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
105;104;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;17;0,0304926982737692;100,752735623575;72,4457879356098;0,164424732078405;2;0,0206075753731229
106;105;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;18;5,79244131166201e-05;12,090911159647;6,10514425814505;0,272727272727273;2;9,65406885277002e-06
107;106;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;19;1,09412780331394e-05;7,52076880918134;3,6412878715201;0,236111111111111;1;0
108;107;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;20;1,41593009840627e-05;7,79044583145527;3,73618075874323;0,244444444444444;1;0
109;108;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;21;4,11906937718188e-05;11,4413064922733;5,16064537091198;0,145124716553288;2;0
110;109;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;22;6,24296452479128e-05;13,4460429660876;8,0811441271373;0,157467532467532;2;0
111;110;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;23;0,000644891799365037;21,1949372828853;14,5016304097033;0,412345679012346;1;0,000565084830182139
112;111;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;24;4,76267396736654e-05;13,8470598053323;7,46932320724347;0,293650793650794;5;4,50523213129268e-06
113;112;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;25;0,00137988824135593;32,7550371926744;18,3015940876004;0,283597883597884;2;0,000688656911497595
114;113;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;26;0,0132003301446875;75,4537790871941;43,5157685197548;0,22890625;1;0,00869059278126357
115;114;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;27;5,14883672147734e-06;5,93717104351896;2,48901326019045;0,4;5;0
